id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20230413	1	999000011000230102	900000000000534007	999000011000000103	20230413	20230215
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20230518	1	999000011000230102	900000000000534007	999000011000000103	20230518	20230215
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20230718	1	999000011000230102	900000000000534007	999000011000000103	20230718	20230412
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20230818	1	999000011000230102	900000000000534007	999000011000000103	20230818	20230607
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20231012	1	999000011000230102	900000000000534007	999000011000000103	20231012	20230802
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20231127	1	999000011000230102	900000000000534007	999000011000000103	20231127	20230802
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20231229	1	999000011000230102	900000000000534007	999000011000000103	20231229	20230927
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20240215	1	999000011000230102	900000000000534007	999000011000000103	20240215	20231122
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20240501	1	999000011000230102	900000000000534007	999000011000000103	20240501	20231122
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20240531	1	999000011000230102	900000000000534007	999000011000000103	20240531	20240410
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20241205	1	999000011000230102	900000000000534007	999000011000000103	20241205	20240925
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20250521	1	999000011000230102	900000000000534007	999000011000000103	20250521	20240925
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20250627	1	999000011000230102	900000000000534007	999000011000000103	20250627	20250604
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20250904	1	999000011000230102	900000000000534007	999000011000000103	20250904	20250730
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20250912	1	999000011000230102	900000000000534007	999000011000000103	20250912	20250730
7BD2EAD4-4D9E-4931-8E9D-0AB34A97D4CC	20251211	1	999000011000230102	900000000000534007	999000011000000103	20251211	20251119
933FB057-B31C-4685-85C6-D2937CEE65C4	20210315	1	999000011000230102	900000000000534007	999000021000000109	20210315	20210120
933FB057-B31C-4685-85C6-D2937CEE65C4	20210331	1	999000011000230102	900000000000534007	999000021000000109	20210331	20210317
933FB057-B31C-4685-85C6-D2937CEE65C4	20210423	1	999000011000230102	900000000000534007	999000021000000109	20210423	20210317
933FB057-B31C-4685-85C6-D2937CEE65C4	20210521	1	999000011000230102	900000000000534007	999000021000000109	20210521	20210317
933FB057-B31C-4685-85C6-D2937CEE65C4	20210707	1	999000011000230102	900000000000534007	999000021000000109	20210707	20210512
933FB057-B31C-4685-85C6-D2937CEE65C4	20210817	1	999000011000230102	900000000000534007	999000021000000109	20210817	20210707
933FB057-B31C-4685-85C6-D2937CEE65C4	20210914	1	999000011000230102	900000000000534007	999000021000000109	20210914	20210901
933FB057-B31C-4685-85C6-D2937CEE65C4	20211027	1	999000011000230102	900000000000534007	999000021000000109	20211027	20210929
933FB057-B31C-4685-85C6-D2937CEE65C4	20211115	1	999000011000230102	900000000000534007	999000021000000109	20211115	20210929
933FB057-B31C-4685-85C6-D2937CEE65C4	20211221	1	999000011000230102	900000000000534007	999000021000000109	20211221	20211124
933FB057-B31C-4685-85C6-D2937CEE65C4	20220309	1	999000011000230102	900000000000534007	999000021000000109	20220309	20220216
933FB057-B31C-4685-85C6-D2937CEE65C4	20220407	1	999000011000230102	900000000000534007	999000021000000109	20220407	20220216
933FB057-B31C-4685-85C6-D2937CEE65C4	20220429	1	999000011000230102	900000000000534007	999000021000000109	20220429	20220413
933FB057-B31C-4685-85C6-D2937CEE65C4	20220722	1	999000011000230102	900000000000534007	999000021000000109	20220722	20220511
933FB057-B31C-4685-85C6-D2937CEE65C4	20220817	1	999000011000230102	900000000000534007	999000021000000109	20220817	20220706
933FB057-B31C-4685-85C6-D2937CEE65C4	20220916	1	999000011000230102	900000000000534007	999000021000000109	20220916	20220706
933FB057-B31C-4685-85C6-D2937CEE65C4	20221007	1	999000011000230102	900000000000534007	999000021000000109	20221007	20220706
933FB057-B31C-4685-85C6-D2937CEE65C4	20221028	1	999000011000230102	900000000000534007	999000021000000109	20221028	20220706
933FB057-B31C-4685-85C6-D2937CEE65C4	20221129	1	999000011000230102	900000000000534007	999000021000000109	20221129	20220928
933FB057-B31C-4685-85C6-D2937CEE65C4	20230130	1	999000011000230102	900000000000534007	999000021000000109	20230130	20221123
933FB057-B31C-4685-85C6-D2937CEE65C4	20230309	1	999000011000230102	900000000000534007	999000021000000109	20230309	20221123
933FB057-B31C-4685-85C6-D2937CEE65C4	20230413	1	999000011000230102	900000000000534007	999000021000000109	20230413	20230215
933FB057-B31C-4685-85C6-D2937CEE65C4	20230518	1	999000011000230102	900000000000534007	999000021000000109	20230518	20230215
933FB057-B31C-4685-85C6-D2937CEE65C4	20230718	1	999000011000230102	900000000000534007	999000021000000109	20230718	20230412
